instrument_token,tradingsymbol,avg_volume
1793,AARTIIND,1243886
3329,ABB,326136
4865,STYRENIX,28292
5633,ACC,338414
6401,ADANIENT,762803
8705,ADOR,11858
10241,AEGISLOG,666547
12289,HAPPSTMNDS,324899
20225,ALEMBICLTD,275382
25601,ARE&M,600761
26625,SHAREINDIA,356603
32769,ROUTE,82516
34817,ANDHRSUGAR,219459
36865,GODREJAGRO,304001
39425,APCOTEXIND,40655
40193,APOLLOHOSP,405142
41729,APOLLOTYRE,911205
42497,ANDHRAPAP,307364
46337,ARENTERP,1008
47105,TCPLPACK,5283
49409,ARVIND,395773
50945,MASFIN,122102
51457,UNIDT,10835
51969,ASHAPURMIN,747250
52737,ASHIMASYN,147299
54273,ASHOKLEY,14601808
56321,IEX,22277105
60417,ASIANPAINT,1060781
62721,ADL,5817
65281,NIRAJ,28244
67329,ATUL,31502
69121,CHEMCON,163122
70401,AUROPHARMA,1410837
70913,GICRE,915998
71169,AUTOAXLES,16136
78081,BAJAJHLDNG,58618
78849,BAJAJHIND,7996508
79873,TIINDIA,385635
81153,BAJFINANCE,7719217
82945,ANGELONE,965804
85761,BALKRISIND,266496
86529,BALMLAWRIE,379154
87297,BALRAMCHIN,421291
87553,CAMS,340743
88833,BANARBEADS,9737
89601,BANARISUG,797
94209,BASF,17782
94977,BATAINDIA,284452
97281,BBTC,53509
97537,SINTERCOM,18324
98049,BEL,13206172
98561,MAHLOG,219296
100609,GLOBE,803618
101121,BEML,341091
102145,NIACL,5409900
103425,BERGEPAINT,467068
107265,BEPL,309425
108033,BHARATFORG,1011199
108801,KHADIM,54986
109057,BHARATGEAR,66696
111617,IFGLEXPOR,99751
112129,BHEL,6872759
119553,HDFCLIFE,2417694
120577,OSWALGREEN,279781
122881,BIRLACORPN,147223
125185,ICEMAKE,18461
126721,BLUEDART,17861
130305,MAZDOCK,1557899
131329,BOMDYEING,4890545
133633,ICICIB22,286523
134657,BPCL,5598962
134913,UTIAMC,156792
135681,BPL,75365
140033,BRITANNIA,405101
143105,BSL,20194
147969,LIKHITHA,56219
149249,CANFINHOME,199577
151553,GRAPHITE,666474
152321,CARBORUNIV,304601
158465,CENTENKA,18288
160001,ABREL,123182
160769,CESC,2912066
162305,IGARASHI,96913
163073,CHAMBLFERT,2075008
164097,DNAMEDIA,325037
173057,EXIDEIND,3000761
175361,CHOLAFIN,1471924
177665,CIPLA,1396696
179457,HEMIPROP,1143153
179969,DICIND,2251
181249,SHRADHA,77145
182785,SHALBY,720581
183041,HEUBACHIND,25165
184833,SBIETFPB,3060
189185,COROMANDEL,448171
189441,SBIETFIT,12112
189953,COSMOFIRST,79259
193793,CRISIL,34241
194561,CGPOWER,3848183
197633,DABUR,2692312
199169,KEEPLEARN,35233
199937,DALMIASUG,87342
205825,SHIVATEX,4916
206081,DCM,22048
207105,BSHSL,15945
207617,DCMSHRIRAM,202789
209153,DCW,1212059
210433,BANKA,25515
211713,DEEPAKFERT,276030
219393,DHAMPURSUG,209725
223745,ASTRON,105480
225537,DRREDDY,1459243
229377,KHAICHEM,309863
232961,EICHERMOT,571459
233729,EQUITASBNK,3197649
234497,EIDPARRY,273228
235265,EIHOTEL,754126
237057,ORCHPHARMA,73229
237569,ELECTCAST,1482085
239617,DPABHUSHAN,43166
239873,ELGIEQUIP,596504
240641,PGHL,21290
244481,ESABINDIA,3285
245249,ESCORTS,194192
247553,SUBEXLTD,556860
251137,EPL,663225
254209,EVERESTIND,21780
255745,EUROTEXIND,8029
258049,FACT,494234
258817,SCHAEFFLER,59389
261889,FEDERALBNK,6775989
263681,AARON,120285
265729,FINCABLES,234736
266497,FINPIPE,804679
269569,UFLEX,37490
274689,FOSECOIND,27200
275457,ZENSARTECH,495680
277761,GABRIEL,540853
281601,GARFIBRES,51052
284161,DANGEE,61153
288513,GHCL,103859
289025,GTECJAINX,1163
290305,APOLLO,18416861
291585,GICHSGFIN,76158
293121,GIPCL,274499
295169,GLAXO,108971
295937,GLFL,3872
297473,GTL,793121
297985,NEWGEN,1666292
299009,GMBREW,19650
300545,GNFC,363913
302337,GODFRYPHLP,1622132
303361,AMBER,395721
303617,GLAND,271976
304641,FMGOETZE,73734
306177,KANSAINER,453418
307201,ESG,18340
310785,DELTAMAGNT,2738
315393,GRASIM,608634
316161,GREAVESCOT,4187432
319233,GSFC,1760154
320001,CASTROLIND,1534850
324353,GUJALKALI,69397
325121,AMBUJACEM,3165373
329985,GFLLIMITED,44324
336129,HARRMALAYA,14610
336641,GALAXYSURF,17238
339969,MARINE,204451
341249,HDFCBANK,15754488
342017,HEG,1969049
342529,SDBL,924383
345089,HEROMOTOCO,862825
348161,HIMATSEIDE,682818
348929,HINDALCO,4651889
351233,HINDCOMPOS,5627
352001,HCC,3867847
356865,HINDUNILVR,1557780
359169,HINDOILEXP,378485
359937,HINDPETRO,3901102
361473,AGI,444086
364545,HINDZINC,2482111
369153,SANOFI,9995
370689,HLVLTD,465007
372481,BIRLANU,14530
375041,ACCURACY,146658
375553,AKZOINDIA,34842
377857,IDBI,7460508
378881,REPL,15250
379393,IFBAGRO,5468
380161,IFBIND,93178
381697,IFCI,5261213
382465,RBA,1174518
383233,SHIVAMILLS,5271
385793,MOGSEC,36674
386049,ASTERDM,812717
387073,INDHOTEL,2314152
387841,INDIACEM,1261493
389377,INDIAGLYCO,247383
391681,INDIANHUME,37987
396033,RKEC,59546
400641,RVHL,62726
401921,GMMPFAUDLR,55015
403457,GILLETTE,26038
404737,TARC,483759
407809,MGEL,994734
408065,INFY,8167203
408833,INGERRAND,8314
413185,FAIRCHEMOR,7576
414977,TATAINVEST,95596
415745,IOC,8085170
416513,LINDEINDIA,18079
416769,BECTORFOOD,106810
417281,IONEXCHANG,233994
418049,IPCALAB,210747
424961,ITC,12631184
425729,SUNDROP,18948
428033,HGINFRA,82689
428801,ITI,973395
430337,IVP,8606
440321,JAYSREETEA,58076
441857,JBCHEPHARM,192154
449537,JINDALPOLY,249764
456193,KANPRPLA,25063
460033,AWHCL,67215
461313,JYOTISTRUC,6860529
462081,KABRAEXTRU,48243
462849,KAJARIACER,526502
463617,KAKATCEM,8313
464385,KPIL,382092
467457,KAMATHOTEL,259520
469761,KANORICHEM,13512
470529,KARURVYSYA,1926256
471297,KCP,262552
475905,KESORAMIND,697719
481025,CARYSIL,170838
486657,CUMMINSIND,562300
491265,KOPRAN,225828
492033,KOTAKBANK,3474018
492289,WEALTH,5699
495873,KREBSBIO,6260
498945,KSB,280385
502785,TRENT,944745
506625,LMW,3805
510465,LIBERTSHOE,26491
511233,LICHSGFIN,1543594
513025,AHLADA,20877
516609,LUMAXIND,31303
519169,LYKALABS,38162
519425,IRFC,10279932
519937,M&M,2738470
523009,RAMCOCEM,266351
524289,INDIGOPNTS,41848
524545,CHENNPETRO,1271429
526337,HOMEFIRST,349393
530689,VTL,1276347
533761,MAHSCOOTER,10061
534529,MAHSEAMLES,175652
539137,MANGLMCEM,76394
539393,STOVEKRAFT,198149
540673,MARALOVER,59601
543745,MASTEK,228912
548353,MFSL,553837
548865,BDL,1670418
555009,RAJMET,537206
557057,AKG,39993
558337,BOSCHLTD,36722
558849,SUNDARMHLD,253062
560129,GENCON,66865
570625,MODIRUBBER,1519
573697,MODTHREAD,6989
577537,PENINLAND,1199292
578305,MOREPENLAB,3735178
579329,BANDHANBNK,4769818
580609,MOTOGENFIN,69206
582913,MRF,7231
584449,MRPL,3507707
585985,HLEGLAS,663385
587265,MTNL,2148097
589569,HAL,1224196
590337,BESTAGRO,114987
590593,MUNJALSHOW,55218
592129,MURUDCERA,44743
592897,HEIDELBERG,199280
593665,NCC,3039014
593921,SMCGLOBAL,76429
596737,JAYNECOIND,70395870
601601,NURECA,14873
610561,NAVNETEDUL,541538
611329,NELCO,123592
613633,SANDHAR,95506
615937,NEULANDLAB,62961
617473,PEL,585231
619777,NILKAMAL,6232
622337,RAILTEL,2236249
623361,CONSUMBEES,188911
624385,NKIND,5917
625153,NOCIL,313480
628225,CENTRUM,280107
630529,MIDHANI,415436
632833,OILCOUNTUB,29181
633601,ONGC,8012362
638209,ORIENTHOT,257642
638977,ORIENTPPR,618212
643329,BCLIND,826437
643585,OSWALAGRO,290958
648961,PGHH,17114
655873,HUHTAMAKI,203931
665089,AMJLAND,36172
667137,LEMONTREE,4952006
668161,PEARLPOLY,167872
669185,HERANBA,108418
669697,SEAMECLTD,64597
672513,IT,237278
674817,DIVOPPBEES,83063
676609,PFIZER,40194
677121,DRCSYSTEMS,117514
678145,PCBL,824581
681985,PIDILITIND,306844
687873,POLYPLEX,62715
692481,PRAJIND,747665
693249,PRAKASH,1484688
693505,MTARTECH,226400
695297,BUTTERFLY,37536
695553,PRECWIRE,149019
701185,PRSMJOHNSN,664759
712449,JUBLINGREA,250507
714753,EASEMYTRIP,17857900
715265,RSWM,40328
716545,CHEMFAB,10239
719105,RAJSREESUG,105327
720385,ARVEE,699
720897,RALLIS,852324
724225,ANURAS,215794
726273,RANASUG,188967
727297,LXCHEM,2085643
728065,RANEHOLDIN,12886
730625,CRAFTSMAN,51528
731905,RAYMOND,462330
733697,RCF,2189909
734209,HITECH,2169401
738561,RELIANCE,10284727
744705,RICOAUTO,5596831
745473,RIIL,120544
752385,RUBYMILLS,31276
755457,S&SPOWER,2678
756481,KALYANKJIL,5611625
758529,SAIL,9830379
760065,SAKHTISUG,117098
760321,SURYODAY,132807
760833,ORIENTELEC,206028
764673,NAZARA,1629675
764929,SANDESH,5359
767233,SANGHIIND,202060
768513,WONDERLA,44763
770305,KOHINOOR,60490
772609,SAURASHCEM,553649
773377,SOTL,42380
773633,SDL26BEES,25476
774145,JINDALSAW,1358289
779521,SBIN,7822230
780289,SCI,1621266
784129,VEDL,7832775
784897,SESHAPAPER,24760
787969,SHANTIGEAR,84678
790529,INDOSTAR,150492
793345,SHREDIGCEM,1065299
794369,SHREECEM,31236
800257,SHREYANIND,7756
800513,BARBEQUE,99840
801025,TRANSWORLD,21341
803329,HONDAPOWER,13514
806145,BORORENEW,675971
806401,SIEMENS,410167
809473,SIMPLEXINF,119489
812033,GILT5YBEES,344031
815617,SKFINDIA,33652
824321,LODHA,1709899
828673,JTEKTINDIA,1580499
831233,NITIRAJ,11755
832513,SPIC,3588931
837889,SRF,419501
838401,TEMBO,60786
842497,STARPAPER,22348
842753,DEEPINDS,330410
848897,MODISONLTD,111737
850177,SPMLINFRA,778841
850945,SUBROS,119996
851713,SUDARSCHEM,318343
852225,ISGEC,28744
854785,SUNDARMFIN,92155
856321,SUNDRMFAST,103128
857089,SUNFLAG,268575
857857,SUNPHARMA,2444900
859393,SUPERSPIN,87223
860929,SUPREMEIND,194003
864001,SURYAROSNI,463340
866305,SWARAJENG,25531
867073,SMLISUZU,169942
867585,AGARIND,35732
869377,TAINWALCHM,66447
871169,AJOONI,537587
871681,TATACHEM,826451
873217,TATAELXSI,140748
874753,HONAUT,3545
877057,TATAPOWER,4514451
878593,TATACONSUM,1139144
879361,BBOX,124047
884737,TATAMOTORS,10206547
887297,TFCILTD,7705614
889601,THERMAX,255578
891137,THOMASCOOK,1610496
891393,CLSEL,67883
891905,TIL,20302
894977,TIRUMALCHM,378985
895745,TATASTEEL,21891843
897537,TITAN,671188
897793,MAFANG,257991
900609,TORNTPHARM,314625
907777,TTKPRESTIG,67222
912129,ADANIGREEN,1527657
913921,UCAL,16971
916225,UNICHEMLAB,38204
918017,MOKSH,366454
923393,UNIVCABLES,48373
931073,JUBLPHARMA,260600
933377,VARDMNPOLY,394560
940033,SOLARA,130091
941057,VESUVIUS,126383
945665,VINDHYATEL,7735
947969,VIPIND,397794
951041,VLSFINANCE,22560
951809,VOLTAS,1039034
952577,TATACOMM,451485
953345,VSTIND,217081
954113,ANMOL,77591
956417,WALCHANNAG,115596
958465,FINEORG,15658
959489,WEIZMANIND,7678
961793,VENKEYS,53148
962817,RITES,602395
964097,WHEELS,28483
965633,WILLAMAGOR,12471
969473,WIPRO,8034469
972545,WSTCSTPAPR,184740
975873,ZEEL,9329429
976129,ARIHANTCAP,888901
978177,ZODIACLOTH,18938
979713,ZUARIIND,332587
981505,BHARATRAS,3875
982273,TOKYOPLAST,24148
987393,VARROC,232554
993281,SOMANYCERA,36797
996353,HATSUN,80475
999937,CAPLIPOINT,120496
1000449,PREMIERPOL,90055
1001473,KHAITANLTD,3856
1003009,NATCOPHARM,614993
1014529,GOCLCORP,147119
1015041,REMSONSIND,186492
1016833,PARASPETRO,153172
1018881,TNPL,327110
1020673,GREENPLY,147160
1025793,CORALFINAC,45921
1027585,NAVA,1235127
1033473,AUSOMENT,4501
1034241,EIMCOELECO,12510
1034497,JAYAGROGN,10836
1038081,PANACEABIO,196620
1041153,MARICO,2009269
1050881,SILINV,2998
1056513,SAMBHAAV,96486
1057281,REGENCERAM,4814
1058817,BIOFILCHEM,7588
1064193,KEYFINSERV,2748
1069057,ZENITHEXPO,3192
1069825,SUNDRMBRAK,7502
1071105,SANGAMIND,33386
1076225,MOTHERSON,19710216
1084161,WENDT,30904
1086465,HDFCAMC,391036
1095425,DENORA,6985
1100545,STERTOOLS,105739
1102337,SHRIRAMFIN,6255594
1112065,PUNJABCHEM,152860
1124097,GULFOILLUB,72438
1124865,MIRZAINT,564531
1128961,JAGSNPHARM,426670
1131777,CREDITACC,432729
1132033,INDIANCARD,16541
1144065,ELECTHERM,31630
1147137,AARTIDRUGS,270689
1148673,ALKYLAMINE,39051
1149697,JCHAC,22698
1152769,MPHASIS,496251
1157633,SIGIND,9377
1158401,DYNAMATECH,6250
1164289,GUJRAFFIA,7298
1168897,RUCHINFRA,69441
1169409,ATLASCYCLE,5157
1174273,RAMCOIND,358449
1176065,KOTHARIPET,59511
1177089,HERITGFOOD,537690
1191937,SBCL,119307
1195009,BANKBARODA,6806199
1199105,SONACOMS,4361670
1201409,SHYAMMETL,365533
1207553,GAIL,9082127
1214721,BANKINDIA,5771713
1215233,INDNIPPON,50943
1215745,CONCOR,1183263
1216257,INDRAMEDCO,231107
1222401,DCMFINSERV,12969
1231105,KCPSUGIND,121366
1234433,DODLA,78566
1239809,SNOWMAN,287411
1240833,KIMS,426019
1252353,SAREGAMA,330021
1253889,FDC,88511
1256193,ENGINERSIN,2683368
1257217,MADRASFERT,315515
1259521,HINDCON,22675
1263105,IPL,992428
1267969,ADROITINFO,82014
1268993,GANGAFORGE,313268
1270529,ICICIBANK,8093569
1273089,PHARMABEES,4239347
1276417,IRCON,3493749
1277953,SHARDACROP,676583
1285121,SVPGLOB,94759
1292545,CLEAN,1065618
1293825,GRINFRA,23559
1297409,SHEMAROO,14704
1304833,ETERNAL,58658310
1307649,KPIGREEN,664076
1309185,SGIL,36833
1316353,CIGNITITEC,84011
1316609,JAICORPLTD,4221368
1321473,TATVA,185386
1323009,SBIETFCON,9040
1327617,STYLAMIND,53550
1329665,ANTGRAPHIC,242698
1332225,GMDCLTD,8384337
1336321,BFSI,263522
1341185,MAHAPEXLTD,6973
1346049,INDUSINDBK,3567205
1347585,PDSL,121942
1347841,ALIVUS,77416
1351425,ROLEXRINGS,29551
1354753,PRITIKAUTO,197036
1360129,UGROCAP,308467
1370113,EXXARO,534066
1371905,KRSNAA,57427
1373697,WINDLAS,79669
1375489,DEVYANI,3258174
1376769,ASAHIINDIA,228403
1377793,EPIGRAL,66057
1378561,AAVAS,205087
1380865,MOL,1030234
1382657,NGIL,209469
1384193,CARTRADE,604038
1389057,NUVOCO,468310
1389569,TRIGYN,30713
1391361,APTUS,2504517
1394945,CHEMPLASTS,85644
1401601,GRSE,1117482
1408257,YUKEN,7449
1409793,SERVOTECH,615125
1412097,JAIPURKURT,20440
1415169,KOTHARIPRO,73382
1427969,ACUTAAS,334716
1429761,VIJAYA,360544
1435137,INTLCONV,130178
1436161,ASTRAZEN,24999
1437185,GANESHBE,200452
1439233,CEMPRO,544529
1442049,J&KBANK,1766003
1446401,SHANTI,103313
1459457,CUB,1841122
1471489,CYIENT,405870
1472257,SANSERA,87370
1480193,MASPTOP50,299232
1497857,BANKNIFTY1,66410
1501441,LAGNAM,15278
1510401,AXISBANK,6432717
1513217,PARAS,624523
1517057,INTELLECT,462947
1520129,MONTECARLO,28575
1522689,SOUTHBANK,7088111
1537537,COASTCORP,120772
1540609,ABSLAMC,302263
1547521,PASUPTAC,65299
1549057,CYBERTECH,51894
1552897,ATGL,582982
1553409,AIROLAM,9228
1568001,GOODLUCK,276560
1572097,PANSARI,1094
1577985,BHAGCHEM,115125
1586689,FCL,240450
1591297,CAMLINFINE,384966
1591809,SIKKO,39710
1594113,DTIL,5396
1603073,SELMC,6584
1607169,MEDICAMEQ,18082
1609217,GULPOLY,80537
1612033,HEALTHY,161836
1613313,APOLSINHOT,1404
1629185,NATIONALUM,7394876
1634561,CCHHL,77866
1640193,LAMBODHARA,43684
1644033,MANORG,5245
1649921,TECHNOE,196663
1654273,TECH,101380
1675009,GRPLTD,7821
1675521,NYKAA,6066159
1681409,LAXMICOT,34281
1684225,FINOPB,262751
1688577,SONATSOFTW,2586710
1689601,GENUSPAPER,117931
1691137,EQUAL50ADD,8262
1700609,SJS,172442
1703937,POLICYBZR,1091821
1705729,SIGACHI,19662987
1716481,PAYTM,6081088
1718017,IVC,249202
1718529,MOLDTKPAC,113262
1719809,SAPPHIRE,577814
1723649,JINDALSTEL,1660166
1736193,NIPPOBATRY,3786
1738753,SBC,8292131
1741569,STEELCAS,240857
1745409,LATENTVIEW,412770
1750017,FOCUS,48559
1751809,SMLT,19500
1753089,GREENLAM,202565
1755649,DHRUV,16547
1756929,BAJAJHCARE,131053
1768449,VISHNU,364065
1769729,RPPL,84351
1777409,TARSONS,58372
1777665,GANECOS,51112
1782017,MENONBE,126825
1782785,GOCOLORS,95949
1785089,DMCC,129971
1786113,ICDSLTD,1568
1790465,BSOFT,1052420
1796097,SHIVALIK,50673
1799681,ASIANENE,521343
1804289,HESTERBIO,17023
1805569,ACCELYA,12870
1810945,MAHKTECH,1499498
1813249,STARHEALTH,1140734
1815297,SEJALLTD,7097
1818881,TEGA,449161
1819905,JMA,12448
1829121,ANANDRATHI,139390
1835265,MICEL,9717303
1837313,RATEGAIN,810893
1843201,SHRIRAMPPS,919414
1846017,JETFREIGHT,61546
1847809,SBIETFQLTY,3664
1850113,MAPMYINDIA,54982
1850625,HCLTECH,3014447
1853953,METROBRAND,111477
1857025,MEDPLUS,172970
1865473,JTLIND,2488905
1875201,DCMSRIND,120413
1883649,DATAPATTNS,284369
1887745,STAR,363285
1888257,HPAL,101631
1891841,SUPRIYA,152644
1894657,RAJESHEXPO,434911
1895937,GLENMARK,845534
1897217,NILASPACES,821816
1897473,ALPHA,1049030
1897729,MANAKCOAT,281770
1899521,MANAKALUCO,230546
1900033,MONQ50,142100
1900801,HECPROJECT,10940
1907457,NIFTY50ADD,18520
1908737,MIDQ50ADD,6251
1921537,WOCKPHARMA,407239
1922049,ZENTEC,449977
1924609,TREJHARA,13169
1927425,LCCINFOTEC,85288
1933569,NRBBEARING,134944
1946369,CMSINFO,491408
1964033,IMAGICAA,580724
1965825,MONARCH,306391
1991681,BCONCEPTS,17330
1994497,UNIINFO,5868
2005761,WEL,374268
2006529,NETF,1802
2008065,AUTOIETF,889054
2009089,BIL,9233
2009857,RAMCOSYS,43883
2010113,INOXWIND,6524038
2012673,GVPIL,602577
2017281,AUTOBEES,365449
2018817,MHLXMIRU,4902
2022913,LFIC,8543
2027265,BYKE,40546
2029825,ZYDUSLIFE,984127
2031617,AVANTIFEED,941541
2039041,MALLCOM,7736
2042625,MAKEINDIA,27530
2043393,GRWRHITECH,72118
2060801,MAHLIFE,222837
2061825,KTKBANK,1009435
2067201,DALBHARAT,452595
2067713,MIDCAP,51033
2069249,CROWN,29767
2076161,AWL,1239765
2078465,RPSGVENT,49829
2079745,AJANTPHARM,94986
2081793,BLBLIMITED,226029
2085377,DEVIT,154059
2087169,MEGASTAR,9592
2088705,FIBERWEB,82128
2089729,SPENCERS,103116
2090753,MANYAVAR,165953
2092801,SAGARDEEP,11102
2094593,MOMOMENTUM,85659
2116097,SOFTTECH,8480
2125825,PRITI,42809
2127617,BLUESTARCO,436486
2135553,GSEC5IETF,10690
2153729,MIDCAPETF,2304906
2156545,VIPULLTD,339630
